iter	Passed	Remaining
404	6338	9312
405	6354	9296
406	6370	9281
407	6387	9267
408	6404	9254
409	6420	9239
410	6437	9225
411	6457	9216
412	6474	9202
413	6490	9187
414	6504	9169
415	6522	9155
416	6538	9140
417	6555	9126
418	6570	9110
419	6588	9099
420	6605	9084
421	6623	9072
422	6644	9062
423	6661	9049
424	6678	9036
425	6696	9023
426	6714	9010
427	6731	8996
428	6751	8986
429	6769	8972
430	6786	8959
431	6804	8946
432	6823	8934
433	6849	8932
434	6867	8920
435	6886	8907
436	6904	8894
437	6920	8880
438	6938	8866
439	6956	8853
440	6972	8837
441	6988	8822
442	7006	8809
443	7023	8795
444	7040	8780
445	7057	8766
446	7073	8750
447	7090	8735
448	7108	8723
449	7124	8708
450	7139	8691
451	7154	8674
452	7167	8654
453	7182	8637
454	7198	8622
455	7213	8605
456	7229	8589
457	7249	8579
458	7268	8566
459	7283	8549
460	7300	8535
461	7315	8519
462	7333	8505
463	7349	8490
464	7367	8476
465	7385	8463
466	7402	8448
467	7418	8433
468	7437	8420
469	7456	8407
470	7474	8394
471	7491	8380
472	7509	8366
473	7527	8353
474	7544	8338
475	7563	8325
476	7579	8310
477	7596	8295
478	7616	8284
479	7638	8275
480	7660	8266
481	7681	8254
482	7700	8243
483	7718	8229
484	7735	8214
485	7755	8202
486	7773	8188
487	7791	8174
488	7811	8163
489	7829	8149
490	7847	8135
491	7864	8120
492	7882	8105
493	7900	8092
494	7919	8079
495	7937	8065
496	7953	8049
497	7970	8034
498	7988	8020
499	8005	8005
500	8022	7990
501	8041	7977
502	8059	7962
503	8074	7946
504	8090	7930
505	8110	7917
506	8127	7902
507	8144	7888
508	8163	7875
509	8180	7859
510	8197	7844
511	8212	7827
512	8228	7811
513	8243	7794
514	8261	7780
515	8278	7765
516	8296	7751
517	8313	7735
518	8330	7720
519	8347	7705
520	8365	7691
521	8384	7677
522	8402	7663
523	8419	7648
524	8438	7634
525	8457	7621
526	8476	7608
527	8495	7594
528	8512	7579
529	8530	7564
530	8547	7549
531	8565	7534
532	8586	7523
533	8606	7510
534	8623	7495
535	8643	7482
536	8660	7467
537	8677	7451
538	8696	7437
539	8713	7422
540	8732	7409
541	8750	7394
542	8767	7378
543	8784	7363
544	8801	7348
545	8817	7332
546	8835	7316
547	8856	7305
548	8874	7290
549	8892	7275
550	8909	7260
551	8929	7247
552	8946	7231
553	8963	7216
554	8983	7202
555	9002	7188
556	9020	7174
557	9038	7159
558	9055	7144
559	9076	7131
560	9095	7117
561	9112	7101
562	9135	7091
563	9154	7076
564	9173	7063
565	9189	7046
566	9207	7031
567	9222	7014
568	9240	6999
569	9258	6984
570	9279	6972
571	9298	6957
572	9316	6942
573	9332	6926
574	9353	6913
575	9369	6897
576	9385	6880
577	9399	6862
578	9415	6846
579	9431	6829
580	9446	6812
581	9461	6795
582	9475	6777
583	9488	6759
584	9504	6742
585	9518	6724
586	9532	6707
587	9545	6688
588	9561	6671
589	9574	6653
590	9587	6634
591	9600	6616
592	9613	6598
593	9627	6580
594	9642	6563
595	9656	6545
596	9669	6526
597	9682	6508
598	9695	6490
599	9708	6472
600	9723	6455
601	9737	6437
602	9751	6420
603	9768	6404
604	9782	6387
605	9797	6369
606	9812	6352
607	9827	6335
608	9840	6317
609	9854	6300
610	9868	6282
611	9880	6264
612	9895	6247
613	9910	6230
614	9923	6212
615	9937	6194
616	9953	6178
617	9967	6161
618	9980	6142
619	9994	6125
620	10008	6108
621	10020	6089
622	10033	6071
623	10046	6053
624	10063	6038
625	10076	6020
626	10090	6002
627	10102	5984
628	10115	5966
629	10127	5948
630	10141	5930
631	10154	5913
632	10167	5895
633	10181	5877
634	10193	5859
635	10207	5842
636	10220	5824
637	10232	5806
638	10246	5788
639	10259	5770
640	10271	5752
641	10283	5734
642	10297	5717
643	10312	5700
644	10326	5683
645	10338	5665
646	10351	5647
647	10364	5629
648	10378	5612
649	10390	5594
650	10403	5577
651	10416	5559
652	10428	5541
653	10442	5524
654	10455	5506
655	10469	5490
656	10483	5472
657	10496	5455
658	10508	5437
659	10521	5420
660	10535	5403
661	10548	5385
662	10562	5368
663	10575	5351
664	10589	5334
665	10601	5316
666	10615	5299
667	10628	5282
668	10642	5265
669	10655	5248
670	10667	5230
671	10681	5213
672	10694	5196
673	10707	5178
674	10720	5161
675	10733	5144
676	10746	5127
677	10759	5109
678	10774	5093
679	10789	5077
680	10802	5060
681	10815	5042
682	10829	5026
683	10843	5009
684	10856	4992
685	10871	4976
686	10885	4959
687	10899	4942
688	10912	4925
689	10926	4908
690	10939	4892
691	10952	4874
692	10966	4858
693	10979	4841
694	10993	4824
695	11007	4807
696	11020	4790
697	11034	4774
698	11048	4757
699	11060	4740
700	11073	4723
701	11087	4706
702	11099	4689
703	11113	4672
704	11125	4655
705	11138	4638
706	11152	4621
707	11165	4604
708	11179	4588
709	11192	4571
710	11205	4554
711	11218	4537
712	11231	4520
713	11245	4504
714	11260	4488
715	11273	4471
716	11287	4455
717	11300	4438
718	11313	4421
719	11326	4404
720	11339	4387
721	11360	4374
722	11380	4360
723	11394	4343
724	11407	4327
725	11420	4310
726	11433	4293
727	11445	4276
728	11459	4260
729	11473	4243
730	11486	4227
731	11501	4210
732	11514	4194
733	11527	4177
734	11541	4161
735	11553	4144
736	11566	4127
737	11580	4111
738	11595	4095
739	11608	4078
740	11622	4062
741	11635	4045
742	11648	4029
743	11662	4012
744	11675	3996
745	11688	3979
746	11702	3963
747	11716	3947
748	11728	3930
749	11742	3914
750	11755	3897
751	11770	3881
752	11784	3865
753	11800	3850
754	11813	3833
755	11827	3817
756	11841	3801
757	11854	3784
758	11868	3768
759	11883	3752
760	11897	3736
761	11910	3720
762	11924	3703
763	11936	3687
764	11950	3670
765	11963	3654
766	11975	3638
767	11989	3621
768	12003	3605
769	12015	3588
770	12028	3572
771	12042	3556
772	12056	3540
773	12069	3524
774	12082	3507
775	12098	3492
776	12111	3476
777	12125	3460
778	12137	3443
779	12150	3427
780	12163	3410
781	12176	3394
782	12189	3378
783	12203	3362
784	12217	3346
785	12230	3330
786	12244	3313
787	12257	3297
788	12270	3281
789	12283	3265
790	12298	3249
791	12310	3233
792	12325	3217
793	12338	3201
794	12350	3184
795	12364	3168
796	12376	3152
797	12390	3136
798	12403	3120
799	12416	3104
800	12429	3088
801	12442	3071
802	12457	3056
803	12471	3040
804	12484	3024
805	12498	3008
806	12512	2992
807	12524	2976
