iter	MultiClass
0	1.33000669
1	1.147367199
2	1.008561479
3	0.8973692616
4	0.8096419756
5	0.7393812807
6	0.6758189073
7	0.6260456834
8	0.5804147451
9	0.5405731049
10	0.5053364542
11	0.474398585
12	0.4470931474
13	0.4267497688
14	0.4052609927
15	0.3862256704
16	0.3724714749
17	0.3559796114
18	0.3430889046
19	0.3298182604
20	0.3183192435
21	0.3079351313
22	0.3006297711
23	0.2914999455
24	0.2830985314
25	0.2777239431
26	0.271511202
27	0.2651821193
28	0.2596406245
29	0.2561415349
30	0.2517274199
31	0.2479072855
32	0.2452530163
33	0.2425135551
34	0.2393410312
35	0.2365968199
36	0.2333524456
37	0.2315020808
38	0.2285119623
39	0.2263073824
40	0.2251853052
41	0.2233803269
42	0.2223203689
43	0.2206107623
44	0.2193014087
45	0.217915716
46	0.216872599
47	0.2154926755
48	0.2149407045
49	0.2139803809
50	0.2126252129
51	0.212232351
52	0.2113915251
53	0.2103076281
54	0.2095855599
55	0.2084798791
56	0.2077647338
57	0.2070783186
58	0.2061132657
59	0.2054986798
60	0.205035869
61	0.2043246082
62	0.2037471013
63	0.2033471697
64	0.2029859266
65	0.2025467964
66	0.2022136122
67	0.2012430001
68	0.2006801021
69	0.2002647157
70	0.1993079601
71	0.1989639014
72	0.1986278768
73	0.1984990704
74	0.1980271892
75	0.1972844535
76	0.1970524535
77	0.1965769238
78	0.1960982241
79	0.1959357401
80	0.1951786968
81	0.1948250484
82	0.1946922984
83	0.1943301324
84	0.1941139939
85	0.1937574643
86	0.1935414679
87	0.193448636
88	0.1932456519
89	0.1927646736
90	0.1925761591
91	0.1922826478
92	0.1920009587
93	0.1918243262
94	0.1916712434
95	0.1913632769
96	0.1910268881
97	0.1907139176
98	0.190389315
99	0.190244762
100	0.1901286294
101	0.1898921903
102	0.1896425176
103	0.1894393674
104	0.1893210255
105	0.1891317994
106	0.1888953465
107	0.1886519063
108	0.1885738943
109	0.188254685
110	0.1880629607
111	0.1879665002
112	0.1878650634
113	0.187747262
114	0.1875622498
115	0.1873794057
116	0.1872381062
117	0.1871193118
118	0.1868956568
119	0.1867126279
120	0.186558237
121	0.1864005814
122	0.1861649437
123	0.1859146819
124	0.1858641737
125	0.1856672779
126	0.1856089205
127	0.1855029573
128	0.185317233
129	0.185191357
130	0.1849955422
131	0.1848665153
132	0.1847792343
133	0.1846694116
134	0.1845070905
135	0.1844729333
136	0.1841749499
137	0.1841225303
138	0.1840377824
139	0.1839100456
140	0.1837605126
141	0.1836377658
142	0.1834618997
143	0.1833639379
144	0.1832658226
145	0.1830989177
146	0.1830380726
147	0.1829315483
148	0.1828055975
149	0.1826769347
150	0.1825863814
151	0.1824572179
152	0.1823003975
153	0.1821934707
154	0.1820214735
155	0.1818958888
156	0.1817990568
157	0.1816980816
158	0.1816275447
159	0.1815111887
160	0.1814443152
161	0.1813687004
162	0.1813189233
163	0.1812025787
164	0.1810130189
165	0.1809091948
166	0.1807610169
167	0.1807109178
168	0.1806598909
169	0.1805580539
170	0.1804568539
171	0.1803996747
172	0.1803118847
173	0.1802034204
174	0.1801371297
175	0.1800754178
176	0.1798243346
177	0.1796913387
178	0.1796451544
179	0.1795785449
180	0.1795254865
181	0.1794091967
182	0.1793131808
183	0.1791289517
184	0.1790243688
185	0.1789752303
186	0.1788895017
187	0.1787027202
188	0.1785897739
189	0.1784848237
190	0.1784064193
191	0.1783238374
192	0.1782227048
193	0.1781824276
194	0.1780486334
195	0.177829309
196	0.177634955
197	0.1775769694
198	0.1775064886
199	0.1773828505
200	0.1772757892
201	0.1770838958
202	0.1770391807
203	0.1769631874
204	0.1768965532
205	0.176828232
206	0.1766423116
207	0.1765601836
208	0.1765130701
209	0.1763232735
210	0.176188746
211	0.1760796679
212	0.1759655558
213	0.1758739585
214	0.1758239917
215	0.1757116996
216	0.1756278056
217	0.1755695632
218	0.1755331099
219	0.1754332889
220	0.175164177
221	0.1750944259
222	0.175021678
